conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,preprocessed_text
1931490017366671391,Sat Jun 07 23:14:40 +0000 2025,0,Langkah nyata dilakuin di Raja Ampat dari penghentian tambang sampai penyegelan ilegal izin dievaluasi biar nggak ada lagi yang curang #TegasTanganiRajaAmpat https://t.co/llUG5DNG9x,1931490017366671391,https://pbs.twimg.com/media/Gs4H7RFaAAAHQTp.jpg,,in,,0,0,0,https://x.com/undefined/status/1931490017366671391,1711260484954107904,,langkah nyata dilakuin raja ampat henti tambang segel ilegal izin evaluasi biar nggak curang
1931423707945460068,Sat Jun 07 23:14:39 +0000 2025,0,@prromild Ketegasan Presiden Prabowo buat Raja Ampat makin aman tambang ilegal udah disegel dan izin usaha diteliti satu-satu #TegasTanganiRajaAmpat,1931490016641138749,,prromild,in,,0,0,0,https://x.com/undefined/status/1931490016641138749,1686950526741798912,,tegas presiden prabowo raja ampat aman tambang ilegal segel izin usaha teliti
1931490016624292026,Sat Jun 07 23:14:39 +0000 2025,0,Langkah nyata pemerintah dan ketegasan Presiden Prabowo tambang ilegal Raja Ampat langsung distop izin usaha diperiksa #TegasTanganiRajaAmpat https://t.co/xeFlSGss0C,1931490016624292026,https://pbs.twimg.com/ext_tw_video_thumb/1931489874361888768/pu/img/5tEFzsDkuncv0yQz.jpg,,in,,0,0,0,https://x.com/undefined/status/1931490016624292026,1701186184352010240,,langkah nyata perintah tegas presiden prabowo tambang ilegal raja ampat langsung stop izin usaha periksa
1931490014749487492,Sat Jun 07 23:14:39 +0000 2025,0,Ketegasan Presiden Prabowo soal tambang terbukti di Raja Ampat pemerintah hentikan aktivitas tambang ilegal dan cek izin ulang #TegasTanganiRajaAmpat https://t.co/zataV02a1y,1931490014749487492,https://pbs.twimg.com/media/Gs4H7RQa8AE1IpX.jpg,,in,,0,0,0,https://x.com/undefined/status/1931490014749487492,1709423206866780160,,tegas presiden prabowo tambang bukti raja ampat perintah henti aktivitas tambang ilegal cek izin ulang
1931490003215118419,Sat Jun 07 23:14:36 +0000 2025,0,Pemerintah nggak kasih ruang buat tambang ilegal di Raja Ampat izin usaha dievaluasi dan tindak tegas dilakukan #TegasTanganiRajaAmpat https://t.co/biaFcWRqem,1931490003215118419,https://pbs.twimg.com/media/Gs4H1NabwAAbW8d.jpg,,in,,0,0,0,https://x.com/undefined/status/1931490003215118419,1709785504412246016,,perintah nggak kasih ruang tambang ilegal raja ampat izin usaha evaluasi tindak
1931417545065762932,Sat Jun 07 23:14:35 +0000 2025,0,@moisehll Tambang di Raja Ampat yang bermasalah udah distop sementara izin usaha dievaluasi nggak segan dicabut kalau melanggar aturan #TegasTanganiRajaAmpat,1931489995824803914,,moisehll,in,,0,0,0,https://x.com/undefined/status/1931489995824803914,1686987968228286464,,tambang raja ampat masalah stop izin usaha evaluasi nggak segan cabut langgar atur
1930658441355546820,Sat Jun 07 23:14:27 +0000 2025,0,@kompascom Memang si @jokowi dan @bahlillahadalia benar² manusia terbangsat dan biadab !!!! Alam Raja Ampat yg begitu indahnya dirusak utk kepentingan nafsu serakahnya.,1931489965961318465,,kompascom,in,,0,0,0,https://x.com/undefined/status/1931489965961318465,1873581557237321728,,manusia bangsat biadab alam raja ampat indah rusak penting nafsu serakah
1931489965185319270,Sat Jun 07 23:14:27 +0000 2025,0,Pemerintah sekarang fokus evaluasi izin tambang di Raja Ampat semua tambang ilegal dicek bareng aparat #TegasTanganiRajaAmpat https://t.co/VjM7VGejGa,1931489965185319270,https://pbs.twimg.com/media/Gs4H4T-bsAAyBMK.jpg,,in,,0,0,0,https://x.com/undefined/status/1931489965185319270,1701096153520238592,,perintah fokus evaluasi izin tambang raja ampat tambang ilegal cek bareng aparat
1931259947276468386,Sat Jun 07 23:14:20 +0000 2025,0,@NgkongRoses Pak Prabowo harus bertindak .. raja ampat adalah rumah terumbu karang dan kekayaan hayati,1931489933291852248,,NgkongRoses,in,,0,0,0,https://x.com/undefined/status/1931489933291852248,1033391504042090496,,prabowo tindak raja ampat rumah terumbu karang kaya hayati
1931416836287156432,Sat Jun 07 23:14:17 +0000 2025,0,@Cecillia_agnes2 Presiden Prabowo tegas banget urusan tambang buktinya di Raja Ampat tambang ilegal disegel izin dievaluasi total siap dicabut kalau terbukti melanggar #TegasTanganiRajaAmpat,1931489922571210813,,Cecillia_agnes2,in,,0,0,0,https://x.com/undefined/status/1931489922571210813,1694972400314777600,,presiden prabowo urus tambang bukti raja ampat tambang ilegal segel izin evaluasi total cabut bukti langgar
1931417662888063229,Sat Jun 07 23:14:17 +0000 2025,0,@RasyaVira12 Evaluasi izin tambang Raja Ampat berjalan pemerintah tuntas menyegel lokasi tambang ilegal bareng ESDM KLHK dan aparat hukum #TegasTanganiRajaAmpat,1931489922223133093,,RasyaVira12,in,,0,0,0,https://x.com/undefined/status/1931489922223133093,1687301889409662977,,evaluasi izin tambang raja ampat jalan perintah tuntas segel lokasi tambang ilegal bareng esdm klhk aparat hukum
1931425931026915627,Sat Jun 07 23:14:16 +0000 2025,0,@strssovrld Langkah-langkah tegas diambil pemerintah tambang ilegal di Raja Ampat distop dan izin usaha dievaluasi ulang #TegasTanganiRajaAmpat,1931489916095258906,,strssovrld,in,,0,0,0,https://x.com/undefined/status/1931489916095258906,1819298827893198848,,langkah langkah ambil perintah tambang ilegal raja ampat stop izin usaha evaluasi ulang
1931425931026915627,Sat Jun 07 23:14:14 +0000 2025,0,@strssovrld Semua operasi tambang ilegal di raja ampat udah distop pemerintah audit izin usaha sesuai pidato presiden prabowo tentang kehadiran negara #TegasTanganiRajaAmpat,1931489911821275529,,strssovrld,in,,0,0,0,https://x.com/undefined/status/1931489911821275529,1684456967950172160,,operasi tambang ilegal raja ampat stop perintah audit izin usaha sesuai pidato presiden prabowo hadir negara
1931489899682869640,Sat Jun 07 23:14:12 +0000 2025,0,Indahnya Raja Ampat makin terjaga pemerintah turun tangan hentikan tambang ilegal pastikan izin usaha sesuai aturan #TegasTanganiRajaAmpat https://t.co/IDZV1BQUbH,1931489899682869640,https://pbs.twimg.com/media/Gs4H0mEboAAT0xU.jpg,,in,,0,0,0,https://x.com/undefined/status/1931489899682869640,1701861834087862272,,indah raja ampat jaga perintah turun tangan henti tambang ilegal pasti izin usaha sesuai atur
1931489889679466958,Sat Jun 07 23:14:09 +0000 2025,0,Pemerintah bareng Kementerian ESDM dan aparat hukum serius lindungi Raja Ampat izin tambang dievaluasi ilegal ditindak #TegasTanganiRajaAmpat https://t.co/ad1zkWu7gp,1931489889679466958,https://pbs.twimg.com/media/Gs4HzosaUAAg2NV.jpg,,in,,0,0,0,https://x.com/undefined/status/1931489889679466958,1703671124662575104,,perintah bareng menteri esdm aparat hukum serius lindung raja ampat izin tambang evaluasi ilegal tindak
1931489878359056883,Sat Jun 07 23:14:07 +0000 2025,0,Raja Ampat aman dari tambang ilegal pemerintah bareng ESDM KLHK dan aparat hukum stop aktivitas sekarang fokus evaluasi setiap izin tambang #TegasTanganiRajaAmpat https://t.co/hASQjmZwiy,1931489878359056883,https://pbs.twimg.com/media/Gs4HzC3akAAAgNV.jpg,,in,,0,0,0,https://x.com/undefined/status/1931489878359056883,1700046221799563264,,raja ampat aman tambang ilegal perintah bareng esdm klhk aparat hukum stop aktivitas fokus evaluasi izin tambang
1931417545065762932,Sat Jun 07 23:14:03 +0000 2025,0,@moisehll Ketegasan Presiden Prabowo: aktivitas tambang Raja Ampat disetop dulu tambang ilegal disegel izin dievaluasi yang nakal siap dicabut izinnya #TegasTanganiRajaAmpat,1931489865138585958,,moisehll,in,,0,0,0,https://x.com/undefined/status/1931489865138585958,1689153246433251330,,tegas presiden prabowo aktivitas tambang raja ampat setop tambang ilegal segel izin evaluasi nakal cabut izin
1931489852010459506,Sat Jun 07 23:14:00 +0000 2025,0,Dengan evaluasi izin tambang tambang-tambang di Raja Ampat nggak bisa lagi semena-mena yang melanggar langsung dicabut izinnya #TegasTanganiRajaAmpat https://t.co/bGZtLk7vnI,1931489852010459506,https://pbs.twimg.com/media/Gs4Hxqha8AAxE3r.jpg,,in,,0,0,0,https://x.com/undefined/status/1931489852010459506,1696734037711405056,,evaluasi izin tambang tambang tambang raja ampat nggak semena mena langgar langsung cabut izin
1931416551619809771,Sat Jun 07 23:14:00 +0000 2025,0,@doiseller Raja Ampat aman dengan evaluasi izin tambang yang ketat dan penertiban tambang ilegal bareng Kementerian ESDM #TegasTanganiRajaAmpat,1931489849258963344,,doiseller,in,,0,0,0,https://x.com/undefined/status/1931489849258963344,1686668953215754240,,raja ampat aman evaluasi izin tambang ketat tertib tambang ilegal bareng menteri esdm
